name,compilation,execution,output,correctness,size,runtime,memory
Cardify,true,false,false,true,1539.5387,1232.7841,1496.2423
Opela,true,false,false,false,1568.5826,1975.334,1788.424
Lotlux,false,false,false,true,139.8776,1228.7845,54.3607
Matsoft,false,false,true,true,958.5432,1785.7376,164.5644
Vagram,false,false,false,false,662.6143,1829.5916,1162.1953
Tresom,true,true,false,false,411.5082,1668.4349,756.5996
Biodex,true,true,true,true,1073.1374,512.9264,1954.9078
Zoolab,false,false,false,true,244.0217,766.3984,440.8737
Lotstring,false,true,true,true,1715.0036,1945.3317,19.4468
Konklab,true,true,false,false,1132.3983,701.1018,1848.6788
Fix San,false,true,false,false,481.7589,186.4658,1334.5193
Cardguard,false,true,false,true,279.1266,1644.566,545.4377
Daltfresh,false,true,false,false,1703.4901,126.567,1751.9143
Y-find,true,true,true,true,911.0951,1222.8737,150.6408
Subin,false,false,true,false,1010.1742,1654.2691,1589.8678
Alphazap,true,true,true,false,1876.3318,1573.8041,388.5519
Ventosanzap,false,true,true,false,1729.8928,1442.9793,1245.8303
Zaam-Dox,false,false,false,true,647.1436,1965.4453,1490.237
Rank,false,false,true,false,283.572,1306.4116,1424.6006
Bitwolf,true,true,false,false,876.6404,367.3338,992.4354
Subin,true,false,true,false,591.2799,936.9494,1102.7006
Cardify,true,true,true,false,792.3189,1938.787,954.1402
Transcof,true,false,true,true,1096.9185,1866.4411,1019.7935
Bitchip,false,true,true,false,908.6108,652.5482,1274.8002
Temp,true,false,true,false,1712.5431,229.3218,8.9461
Ventosanzap,true,true,false,true,388.1578,1108.7528,30.7393
Prodder,false,false,true,true,1742.0225,1136.8693,1474.33
Y-Solowarm,false,false,false,false,931.168,887.0304,1417.9367
Prodder,false,true,true,true,252.8718,293.0431,998.2681
Kanlam,false,true,false,true,1575.225,348.4387,920.4781
Cookley,true,false,true,true,110.791,196.3225,1410.9518
Stim,false,false,false,true,1686.108,1373.737,1953.5364
It,false,false,false,false,436.0572,1516.9927,1823.4042
Vagram,false,true,false,false,109.7676,1117.3001,167.4331
Holdlamis,true,true,false,true,1077.6581,1754.4213,1716.7621
Voltsillam,false,false,false,true,1319.9473,210.1183,1659.3046
Y-Solowarm,false,false,true,true,688.1066,445.3223,896.7194
Cardguard,false,true,false,false,64.6719,1402.7643,1984.6946
Zontrax,false,false,true,false,898.6256,1700.7718,1088.3121
Voltsillam,true,false,false,false,1639.7551,1753.6698,293.4916
Ronstring,true,true,true,false,1496.3009,1103.4789,1502.8134
Bytecard,true,true,false,false,1787.1527,950.8515,1211.8492
Latlux,true,true,false,false,345.3376,834.5486,63.4648
Ronstring,true,true,false,false,1012.5097,1340.7291,765.635
Subin,true,false,true,false,1216.7651,922.9683,913.5409
Sonsing,true,true,true,false,1970.8449,1000.9413,1072.1277
Bitchip,false,false,true,true,1930.1199,261.2811,483.415
Flexidy,false,false,false,true,662.774,1721.8917,1650.8233
Stringtough,false,false,true,true,711.5237,1174.0138,1563.8038
Bigtax,false,false,true,true,10.4468,1445.2089,1374.1623
Voltsillam,false,true,true,false,1132.8078,927.2059,1586.9316
Cookley,true,true,false,true,1325.8285,1261.5158,45.489
It,false,false,true,true,1919.7728,1793.0314,338.6874
Voltsillam,false,false,false,true,1527.9864,1659.8123,1994.192
Zontrax,false,true,false,false,1552.0761,1261.9438,289.2178
Matsoft,true,true,true,true,864.9389,1880.8706,1403.8753
Zontrax,true,true,false,true,486.7547,1218.5055,808.9355
Lotstring,true,true,false,false,410.9984,1982.2429,1672.6979
Voyatouch,false,true,true,false,1250.4624,818.962,472.201
Matsoft,true,true,true,false,148.4335,1285.1448,66.0688
Alphazap,false,false,true,false,1755.694,19.9456,702.3057
Prodder,true,false,true,true,676.2662,1461.3974,1757.0542
Sonsing,false,true,true,false,1347.3435,224.3375,953.7178
Flexidy,true,true,false,true,302.8651,1973.618,1202.0226
Sonsing,true,false,false,true,1407.8828,198.3463,864.8593
Y-find,true,false,false,false,569.4876,81.0488,1219.8747
Y-Solowarm,false,true,false,true,1929.8123,1786.3487,1232.374
Solarbreeze,true,true,true,true,1383.4442,1047.6083,440.1591
Gembucket,false,true,true,true,1227.5882,581.1174,1741.119
Alphazap,false,false,true,false,1945.3649,1319.7454,323.7426
Zoolab,true,true,false,true,1478.2403,750.2895,1740.8065
Greenlam,true,false,false,true,536.1774,1182.8146,640.2206
Toughjoyfax,true,false,false,false,312.019,534.4098,38.7683
Sonsing,false,true,false,true,1287.8793,661.3622,1096.8716
Bitchip,true,false,false,false,714.8498,192.8379,1378.9059
Job,true,false,false,false,1100.6273,310.1047,881.2829
Subin,true,true,false,false,1321.8955,1421.7418,1859.9235
Solarbreeze,true,true,true,false,1321.3269,1672.8342,1451.3752
Sonsing,true,false,false,true,1926.6402,1137.4634,835.9163
Zaam-Dox,false,false,false,false,1425.9506,312.8582,1023.5794
Cookley,true,true,false,false,1694.4902,1704.7604,1345.2926
Stronghold,false,true,true,true,681.7544,1208.1338,1493.9086
It,false,false,false,true,590.0508,1026.3308,954.9229
Viva,false,true,true,true,1582.4674,1751.6062,36.7559
Fintone,true,false,true,true,1087.1065,1902.7136,1560.644
Konklux,false,true,true,true,1885.4071,1539.3286,444.5253
Tin,false,false,true,false,1549.5688,480.2943,352.3468
Opela,true,true,false,false,578.6988,435.449,1350.29
Mat Lam Tam,false,false,false,false,631.0133,1409.5886,589.2909
Fixflex,false,true,true,true,708.2255,1374.2998,1176.5175
Alpha,false,false,true,false,428.7255,1010.2874,886.7685
Tresom,false,true,true,true,381.2648,1903.6147,1468.7519
Lotstring,true,false,true,false,44.2048,916.9751,508.822
Span,false,false,true,false,366.4237,317.8885,1792.2908
Job,false,false,false,true,1997.3327,933.1019,229.5329
Stronghold,true,true,true,true,731.2384,591.3136,530.7526
Stronghold,false,false,false,true,376.5067,1974.5888,494.2742
Bamity,false,true,true,true,1949.9408,1055.2516,388.3564
Solarbreeze,true,false,false,false,1524.8356,148.4918,1715.5592
Alphazap,true,false,true,true,1188.7709,1888.6699,526.0162
Andalax,true,false,false,false,1736.286,840.7902,963.5568
Trippledex,true,false,false,false,705.1195,1669.1932,1808.0359
Fix San,true,true,true,false,325.2391,359.3487,1387.3742
Pannier,true,true,false,true,1469.981,1602.2181,657.1442
Vagram,true,false,true,true,729.6682,306.3966,18.3454
Flexidy,false,true,false,false,1782.2083,847.3422,185.3772
Tresom,true,false,true,true,1378.5367,598.2473,384.5427
Cardguard,false,true,false,true,857.158,1337.9734,372.1705
Voyatouch,false,true,false,true,347.2551,1814.6143,885.4298
Alphazap,true,false,true,false,202.8546,356.0164,746.305
Ronstring,true,false,true,true,958.2566,1749.4771,106.2016
Alphazap,true,true,false,true,1127.8971,1992.538,900.0963
Opela,true,false,false,true,1420.5891,587.295,515.6236
Ventosanzap,true,true,false,true,364.5155,233.6716,1901.6149
Prodder,true,true,true,true,505.6985,1031.5306,1550.4407
Treeflex,false,false,true,true,580.5919,1146.4114,1308.2631
Ventosanzap,true,false,true,false,1366.2146,976.8452,48.9549
Zoolab,false,true,false,false,1490.8857,503.7059,1670.9471
Sonair,true,false,false,true,1956.5788,1032.9095,882.1542
Flowdesk,true,false,false,false,201.4327,304.1754,1266.4532
Otcom,true,true,true,true,1854.1478,533.1968,1016.9696
Otcom,false,false,false,true,612.3887,8.8521,942.274
Span,false,true,true,true,1272.612,1951.2554,340.7678
Zaam-Dox,false,false,true,false,880.1146,1002.1742,505.1397
Voltsillam,true,false,true,false,773.3806,156.678,1201.4519
Pannier,false,false,true,false,1408.0372,1688.2017,1848.9888
Aerified,true,false,false,true,266.4942,600.7905,1737.0475
Tempsoft,false,true,false,false,1676.5856,604.4884,900.6749
Zoolab,false,true,true,false,38.4487,670.5553,1357.6366
Opela,false,false,false,false,421.3288,491.9234,1699.8741
Tampflex,true,true,true,false,623.686,545.3989,311.9817
Daltfresh,true,true,true,false,7.3081,686.4155,685.3443
Voltsillam,false,false,true,false,606.9681,857.1259,657.363
Zaam-Dox,false,false,false,false,805.6718,1482.2937,678.0886
Bitwolf,false,true,true,false,1241.4949,316.2347,53.2536
Transcof,true,false,false,false,1819.7131,1266.7133,1303.8363
Job,true,false,true,false,515.3963,788.3336,34.8451
Redhold,true,false,false,false,463.8465,1168.0005,490.6559
Lotlux,true,true,true,true,1536.756,697.6664,1635.3406
Veribet,false,true,true,true,546.6552,937.0229,1253.6171
Bitchip,false,false,false,true,1598.3331,116.2429,431.7982
Span,true,false,false,true,1016.5004,1726.9949,360.9316
Solarbreeze,false,false,true,true,603.19,1873.4492,1665.6073
Konklab,true,true,true,false,154.0986,1698.3702,1863.9733
Viva,true,false,true,true,1965.0584,3.3145,1387.167
Zaam-Dox,true,true,false,true,1517.2529,933.2822,364.502
Wrapsafe,true,true,true,true,1133.2168,1696.4439,359.7681
Regrant,false,false,true,true,232.2791,1428.8608,1468.2002
Tin,false,false,false,true,789.0221,1613.935,792.5703
Fixflex,false,false,false,false,1050.1434,78.7764,1836.7817
Andalax,true,false,true,false,696.1695,109.5559,1802.9866
Keylex,true,false,false,true,386.159,1520.2281,1094.5518
Gembucket,false,true,true,true,1042.4865,427.3507,1701.425
Bytecard,false,false,true,true,1849.8807,49.6792,1428.5172
Quo Lux,true,true,true,true,1091.5244,1514.6153,316.3991
Kanlam,false,false,true,true,1074.7904,288.8941,1630.3984
Domainer,false,false,false,true,1591.5723,1750.5443,1152.882
Y-find,false,false,true,true,1413.4932,1384.7687,171.2352
Sonair,false,true,true,false,62.5091,1433.3251,1083.5589
Treeflex,false,true,false,true,985.4312,1548.5789,1167.4865
Konklux,true,false,true,true,566.0298,638.5155,476.9045
Otcom,false,false,false,false,1089.8285,1914.0184,269.2162
Span,false,true,true,true,961.4175,324.6172,903.0253
Zaam-Dox,true,true,true,true,27.6743,1537.8671,1518.998
Alphazap,false,false,true,false,1890.7036,496.157,1167.6149
Viva,true,true,true,true,1071.239,245.583,1197.9816
Rank,true,false,true,false,878.0698,248.3223,1499.2364
Toughjoyfax,false,true,true,true,79.8705,1955.5128,441.3941
Kanlam,true,false,true,true,1440.4101,723.7434,696.2791
Sonair,true,true,false,true,1534.4721,8.3245,1764.4785
Sonair,false,false,false,false,52.7245,291.4419,276.9562
Zoolab,false,false,true,false,1376.7477,1959.8275,234.6349
Sonair,true,false,true,true,1167.7653,1293.1522,159.085
Subin,true,false,true,false,1100.2752,281.1438,1356.9451
Job,false,false,false,false,875.8896,559.8091,912.2542
Veribet,false,false,true,false,1482.0555,18.5001,1253.6276
Zontrax,false,true,false,true,1788.4298,379.6616,578.7129
Lotstring,false,true,true,false,1102.1383,200.6068,809.195
Sonair,false,true,false,true,1922.3882,1224.0668,1733.9132
Cookley,false,false,false,false,862.6547,1121.3799,611.4839
Voltsillam,false,false,false,false,1413.8409,1348.1392,1003.1647
Redhold,false,true,true,true,1925.0725,1793.1136,87.0173
Aerified,true,false,false,true,1914.4127,1149.1996,1044.5618
Aerified,false,false,true,false,233.4731,451.3702,1920.4539
Rank,true,true,false,true,529.6474,1225.5626,43.17
Kanlam,true,true,true,true,186.787,1270.3561,1775.8901
Tampflex,true,false,false,true,57.2855,1932.8279,1156.6842
Holdlamis,true,true,true,false,103.2462,1217.1323,769.3896
Andalax,true,true,false,true,1307.1984,1460.3623,215.6483
Greenlam,true,false,false,true,1008.056,951.4431,335.2061
Tres-Zap,false,false,true,true,1791.0438,1879.6355,122.5017
Holdlamis,false,false,false,false,1665.637,273.3319,299.8554
Home Ing,true,true,true,false,240.6863,185.7304,1780.4693
Holdlamis,true,true,true,false,992.7841,1320.8425,1997.6401
Solarbreeze,true,false,false,false,647.9258,1336.2383,1433.9566
Lotstring,false,false,true,true,582.7613,204.3298,1517.8696
Stim,true,true,false,true,796.514,1679.1823,331.0831
Fixflex,true,false,true,false,292.2319,278.5948,352.8432
Wrapsafe,false,true,false,false,1152.2709,1455.4305,274.6892
Veribet,false,false,false,false,158.0245,709.5248,1533.3526
Aerified,false,false,true,false,25.0926,565.5607,783.5049
Opela,true,false,false,false,1523.788,1277.0516,937.1509
Cardguard,false,true,true,false,348.8617,1836.0805,1237.1482
Tresom,true,false,true,true,957.8586,1144.1035,1373.5987
Home Ing,false,false,false,true,268.7943,877.0418,1801.5209
Bytecard,true,true,true,true,1733.2181,220.9998,1134.4984
Redhold,false,true,false,false,733.7553,752.0864,1307.8429
It,true,true,false,true,440.3718,573.1325,981.5273
Latlux,false,true,true,false,907.3952,633.4565,225.3046
Viva,false,true,false,false,1762.1797,1749.6758,1632.4895
Y-find,true,false,true,false,989.3753,1542.4211,1260.4378
Hatity,true,true,true,true,28.9538,110.4701,1135.5198
Voyatouch,false,true,true,true,962.1882,896.0552,354.7544
Subin,true,false,false,true,987.359,430.16,1693.6741
Konklab,true,false,false,false,1621.0134,406.2262,1030.4448
Span,false,false,false,false,1358.7631,1903.1832,1674.5632
Stringtough,true,true,true,true,1508.909,874.0997,1401.9306
Alpha,true,true,false,false,1787.318,177.5426,1318.8957
Rank,true,false,false,false,1847.6941,98.4275,1886.7171
Alpha,false,true,true,true,1631.5032,1911.4067,1484.0348
Quo Lux,true,false,true,true,237.9547,1397.1656,245.3254
Flexidy,true,false,true,true,467.2704,883.3021,236.9791
Fintone,true,true,true,false,1390.4099,1533.3981,1585.2267
Y-Solowarm,false,false,true,false,1341.6778,1226.8764,279.1516
Veribet,false,true,true,false,1015.8233,1470.9383,1368.5637
Zaam-Dox,true,false,false,true,795.8508,1677.2351,1570.0312
Greenlam,true,false,false,false,742.28,986.4683,1571.4503
Job,false,true,false,false,299.2701,1094.6199,1137.0706
Home Ing,true,false,false,false,1811.6166,1214.3562,1006.3925
Bitchip,false,true,false,false,527.8564,630.1038,837.4905
Flexidy,false,true,true,true,928.9053,174.7232,1166.4671
Veribet,false,true,false,false,1748.4348,229.5785,825.8026
Fixflex,false,true,false,true,1775.5496,672.8653,362.103
Aerified,false,false,true,true,424.8509,776.6972,1153.1893
Konklab,true,true,true,true,943.9382,535.7712,855.067
Duobam,false,false,true,true,709.603,1301.6748,712.4695
Flexidy,false,false,false,true,900.3107,1912.6879,106.2355
Bitwolf,true,true,false,false,1487.1205,333.6011,601.8048
Domainer,true,false,false,false,91.7226,908.8318,500.5592
Quo Lux,true,true,false,false,790.1289,1319.868,1660.1512
Bitchip,false,true,true,false,467.4887,1498.3012,1001.658
Fintone,false,false,true,false,554.9276,1331.9268,499.6079
Domainer,false,true,false,false,1572.0185,1181.2051,938.2483
Bitchip,true,false,true,false,1011.0158,1240.6845,1082.3854
Trippledex,true,true,false,true,744.4398,187.2096,1290.9895
Fixflex,true,true,true,false,1162.7079,422.1013,501.1711
Zamit,true,true,true,true,279.1397,1513.4397,10.4506
Rank,true,true,true,false,184.911,204.4908,1259.572
Hatity,true,true,false,true,1640.8149,1978.0837,256.0624
Cardguard,true,false,false,true,1873.3631,1264.3645,1291.482
Mat Lam Tam,false,false,false,false,1075.5151,979.3818,793.3637
Fintone,false,true,false,false,1896.5038,622.0652,460.7158
Tresom,false,false,false,false,1448.0297,239.5986,95.5622
Zathin,false,true,false,true,522.176,1370.2319,150.7992
Greenlam,true,true,true,false,842.1992,1919.6655,1827.8123
Job,true,true,true,false,413.9086,127.448,1847.1949
Matsoft,true,true,false,true,1725.7111,1892.2017,1858.0118
Toughjoyfax,true,false,true,true,1940.8229,1554.0763,1105.1987
Cardify,true,true,true,false,1152.0711,1141.9367,1803.2593
Zaam-Dox,false,false,true,false,1850.388,712.1041,1411.0951
Stim,false,true,false,false,1241.3013,1201.7148,423.9322
Span,true,false,false,false,413.8372,624.8116,252.2384
Tresom,false,false,false,true,1749.5637,895.411,673.0027
Stronghold,true,false,false,false,1223.2187,986.5005,1369.7427
Stronghold,false,false,true,false,1386.4503,1363.7159,1717.2094
Vagram,false,true,false,true,489.1933,1981.6595,1359.4382
Flowdesk,true,true,false,true,1575.4605,1996.7067,834.6188
Tin,true,false,false,true,1686.8252,67.0747,1334.4719
Bigtax,true,false,false,true,448.2903,1200.0301,1935.1198
Rank,false,true,true,true,1052.5846,1585.6883,1290.5969
Bigtax,false,true,false,false,1383.6406,119.3392,959.5273
Holdlamis,true,false,false,false,795.7876,1706.0115,1487.7873
Opela,true,false,false,true,577.5212,741.5574,858.2306
Flexidy,true,true,true,false,1923.3385,159.2414,826.2838
Kanlam,true,false,false,false,813.5497,1590.0115,475.8277
Zoolab,false,false,false,false,1384.8945,1793.0042,1204.4564
Zathin,true,true,false,false,1937.4552,989.1641,1595.8508
Keylex,true,true,true,false,1187.4928,1395.5905,1947.4459
Cardguard,false,true,false,true,1460.0042,1572.7216,1200.6754
Tresom,true,false,false,false,1058.7826,1382.3601,1166.6735
Keylex,true,false,false,true,775.0418,1141.9712,1488.2036
Gembucket,true,true,false,true,128.676,1006.6774,728.0985
Flowdesk,false,false,false,true,186.8474,955.4246,1381.0771
Domainer,true,true,false,true,1945.0989,1300.8851,1821.602
Bigtax,true,false,true,true,1282.7743,210.1684,1722.3582
Fintone,true,false,false,true,780.6161,823.538,1432.5552
Stringtough,true,false,false,true,966.1689,1339.3921,667.7337
Tres-Zap,true,false,false,true,707.5863,269.73,366.3536
Otcom,false,true,true,false,804.3221,1898.7649,1427.2558
Konklux,false,false,true,true,1844.9128,850.8173,1362.0495
Tres-Zap,true,true,true,true,1848.3753,121.6704,531.9271
Wrapsafe,false,false,false,false,852.4517,530.1274,1275.7304
Voltsillam,true,false,true,false,1882.1751,1897.4748,1148.1575
Y-Solowarm,false,true,false,false,1997.6599,430.6048,288.1301
Y-Solowarm,false,false,false,false,1985.0369,832.3057,1656.2834
Bytecard,true,true,false,false,930.6438,1153.5739,1904.1885
Fintone,false,true,true,false,664.3672,596.051,1360.0424
Zaam-Dox,true,false,true,false,1295.2981,47.3629,1772.551
Alpha,true,true,false,false,1557.6754,740.365,1035.027
Tres-Zap,true,false,true,false,373.0662,995.5141,1232.0828
Y-find,false,true,true,false,239.7035,1851.1244,1467.4416
Zamit,false,true,false,true,1517.6948,701.1415,916.2696
Stim,false,false,false,true,1753.023,811.9176,584.181
Prodder,true,false,true,true,302.1653,915.4195,1598.2066
Stim,true,true,true,true,1886.3208,726.0448,455.4864
Home Ing,true,false,true,false,1519.5328,314.005,395.0361
Cardify,false,true,true,true,1858.8039,1898.1402,191.1173
Holdlamis,false,true,true,false,229.169,337.4909,1160.7047
Gembucket,true,true,true,false,1850.339,1401.4004,1386.8445
Bamity,true,true,true,false,119.2792,1960.8636,973.4395
Mat Lam Tam,false,false,false,false,1654.9777,267.8657,826.8624
Voltsillam,true,false,false,true,1334.8456,661.5735,1755.6333
Zathin,false,false,false,true,716.4325,358.1747,872.3733
Quo Lux,false,true,false,false,993.3101,253.3982,832.8931
Toughjoyfax,false,false,true,true,1724.3564,98.6295,588.9795
Stronghold,true,true,true,true,646.3836,576.7733,80.1461
Ronstring,true,false,true,false,1732.886,317.5601,1930.2808
Stronghold,true,false,false,true,1964.241,487.5543,1629.261
Tampflex,false,false,false,false,1103.7489,1318.7766,1894.2458
Zathin,true,false,true,true,459.1321,503.8997,649.7729
Bamity,true,false,false,true,472.0661,951.6052,1173.2602
Stim,false,true,false,false,510.888,315.9882,1035.6936
Trippledex,false,true,false,false,138.8826,1046.8487,752.4197
Voyatouch,false,false,true,true,1625.9954,215.3529,128.1294
Sonsing,false,true,false,true,1505.4248,1752.3037,284.8693
Andalax,false,false,false,false,660.5339,175.0059,506.2
Ronstring,true,true,false,false,187.336,610.188,1723.8214
Cardify,true,false,false,true,1286.3629,1307.7134,512.1289
Tres-Zap,false,false,false,true,1131.2945,532.8045,1123.6113
Duobam,false,true,true,false,441.0134,187.6771,73.7315
Latlux,true,true,false,false,1362.5382,1284.2107,358.7929
Duobam,true,false,true,true,1963.1349,1137.0063,1761.0455
Cookley,true,true,true,true,1441.4963,1073.0735,139.0155
Konklux,false,true,true,true,974.6474,451.8613,568.9388
Biodex,true,false,true,true,1300.486,139.0006,770.8707
Greenlam,false,true,false,false,21.5026,1756.3603,377.2528
Hatity,false,false,false,true,371.1445,166.585,348.9608
Span,false,true,true,false,1583.0173,1695.6374,1448.7221
Quo Lux,true,true,true,true,1007.2042,176.2997,378.6146
Quo Lux,true,false,false,true,1967.1075,1132.7315,1676.1537
Sonair,true,false,true,false,1150.1044,1249.2764,1474.9134
Duobam,true,true,false,false,1994.7538,839.4272,1952.4554
Latlux,false,false,false,false,716.0929,1285.379,1398.0587
Stringtough,false,true,false,false,1926.7743,1266.8826,1448.8759
Bytecard,false,false,false,true,1023.5379,1381.0876,1604.9859
Treeflex,true,false,true,true,1163.0719,725.8636,1197.654
Cardguard,true,true,false,false,1817.132,1760.3076,478.6265
Vagram,false,true,false,true,777.8852,919.5086,1949.7041
Zoolab,true,true,false,true,1301.4279,1367.7314,1337.2237
Stim,true,true,true,true,247.0491,1712.2337,1758.2849
Tin,false,false,true,true,1938.1969,877.3263,1633.5998
Holdlamis,true,true,true,true,636.8691,381.5962,627.3916
Lotstring,true,false,false,true,1446.7728,974.4481,1353.0637
Bigtax,false,true,true,false,113.4538,462.6361,1516.9326
Zamit,false,false,false,false,79.4305,213.0736,232.5375
Andalax,true,true,false,true,1824.3619,1205.2189,1968.7965
Alpha,false,false,true,true,908.019,1792.0741,1073.6122
Zoolab,false,false,false,false,1839.2391,89.7625,1826.6731
Cardguard,true,true,false,true,368.7964,61.5324,218.7006
Overhold,false,false,false,true,1481.6983,373.8395,1082.6717
Cookley,true,true,false,true,1020.2321,1837.9922,1264.9023
Konklux,true,true,true,true,1165.4259,1496.2294,874.0424
Solarbreeze,false,false,true,false,598.6046,1572.0751,1645.3514
Prodder,false,true,true,true,272.3126,1631.5831,72.0204
Solarbreeze,false,false,false,true,999.3927,1575.1853,1478.3873
Aerified,false,false,true,true,659.5792,396.4589,1706.9337
Subin,false,true,true,true,1044.984,634.4076,668.418
Sonsing,true,true,false,true,703.6919,1363.6565,470.2987
Lotlux,true,true,true,false,1139.245,1810.7213,704.7071
Overhold,true,true,true,false,1829.2692,1045.6432,843.0647
Voltsillam,true,false,false,true,775.0029,143.7837,613.1591
Tempsoft,true,false,false,true,671.1915,1493.4961,1973.126
Redhold,true,true,true,true,1695.5546,1957.3745,676.7219
Regrant,false,true,false,true,1670.9057,484.1612,528.7543
Bitwolf,false,false,true,false,1356.4385,1042.018,550.2478
Cardify,true,false,false,false,1591.2569,904.6041,1732.5384
Opela,false,false,false,false,1484.6015,191.4542,554.9903
Asoka,true,false,true,false,1138.8422,614.1657,1726.14
Alphazap,false,false,false,false,526.4438,424.7449,155.9209
Job,true,true,true,false,1723.4336,485.2723,316.8802
Bamity,true,true,true,true,1606.271,121.8594,988.7603
Trippledex,true,true,true,true,329.7848,1141.0383,1795.9789
Rank,true,true,true,true,1753.8566,1578.5504,166.2402
Alphazap,false,false,false,false,1596.9832,752.9947,1269.6038
Trippledex,false,false,false,true,883.839,1226.9951,359.3786
Solarbreeze,true,false,true,false,1646.2686,1753.2534,1698.2545
Viva,false,true,true,true,276.6674,332.4557,1384.9316
Holdlamis,false,false,false,false,1591.9457,1040.3009,540.1347
Solarbreeze,false,false,false,true,907.4158,1557.6466,1508.8778
Alphazap,false,true,false,false,1607.5089,1780.847,986.3641
Y-Solowarm,true,false,true,true,410.8249,202.1265,849.9683
Voyatouch,false,true,false,false,1681.3387,391.7959,169.5338
Stim,true,true,true,true,1561.282,1529.3304,1595.0607
Zathin,false,true,false,true,397.1101,58.8545,1850.2146
Daltfresh,false,true,false,false,1923.9349,710.2334,1180.6429
Fintone,true,false,true,true,872.586,1701.81,1950.5091
Asoka,true,false,true,true,1830.0142,1644.9513,1510.6189
Y-Solowarm,true,false,true,true,500.0463,770.9485,318.2121
Alphazap,true,false,true,false,1044.7642,1092.4466,1885.26
Stringtough,false,false,true,true,787.3142,1746.2789,968.2777
Gembucket,true,false,true,false,304.6179,1879.877,385.703
Hatity,true,true,true,false,360.8464,1894.6951,1136.0053
Cardguard,false,true,true,false,1302.2912,1207.3621,854.383
Andalax,false,true,false,true,834.5754,420.5951,794.9423
Treeflex,false,true,true,true,1656.4506,13.1154,35.7821
Solarbreeze,true,false,false,false,524.3098,1452.5045,221.2381
Fintone,true,false,true,false,1735.3268,1848.3125,1421.2501
Hatity,false,true,true,false,1373.7165,564.6422,990.1067
Transcof,true,false,false,true,1622.6347,360.3229,1766.1862
Stringtough,true,true,true,true,1688.006,1857.7919,1665.902
Vagram,false,true,true,true,534.419,1954.952,1477.5871
